DATE,HORIZON,ASSET_TYPE,ASSET,EXPECTED_RETURN
2017-12-31,1M,Equity Common Stock,ETN.N,0.0985891
2017-12-31,1M,Equity Common Stock,ECL.N,0.1946192
2017-12-31,1M,Equity Common Stock,EIX.N,0.0147444
2017-12-31,1M,Equity Common Stock,EA.OQ,0.3362051
2017-12-31,1M,Equity Common Stock,EMR.N,0.0883364
2017-12-31,1M,Equity Common Stock,EOG.N,0.0939926
2017-12-31,1M,Equity Common Stock,ETR.N,-0.0161167
2017-12-31,1M,Equity Common Stock,EFX.N,0.1965717
2017-12-31,1M,Equity Common Stock,EQT.N,-0.0615367
2017-12-31,1M,Equity Common Stock,EQR.N,0.0468295
2017-12-31,1M,Equity Common Stock,RE.N,0.2044577
2017-12-31,1M,Equity Common Stock,EXPD.OQ,0.2640742
2017-12-31,1M,Equity Common Stock,ESRX.OQ,-0.0283908
2017-12-31,1M,Equity Common Stock,XOM.N,-0.0486638
2017-12-31,1M,Equity Common Stock,FMC.N,0.2017721
2017-12-31,1M,Equity Common Stock,NEE.N,0.2632350
2017-12-31,1M,Equity Common Stock,FAST.OQ,0.0905297
2017-12-31,1M,Equity Common Stock,FDX.N,0.1932607
2017-12-31,1M,Equity Common Stock,FRT.N,0.0197811
2017-12-31,1M,Equity Common Stock,M.N,-0.1853514
2017-12-31,1M,Equity Common Stock,FITB.OQ,0.1835222
2017-12-31,1M,Equity Common Stock,FISV.OQ,0.4419639
2017-12-31,1M,Equity Common Stock,FE.N,-0.0954440
2017-12-31,1M,Equity Common Stock,FLS.N,-0.0972416
2017-12-31,1M,Equity Common Stock,BEN.N,-0.0759372
2017-12-31,1M,Equity Common Stock,FCX.N,0.0836633
2017-12-31,1M,Equity Common Stock,AJG.N,0.2053742
2017-12-31,1M,Equity Common Stock,GPS.N,0.0085373
2017-12-31,1M,Equity Common Stock,IT.N,0.2094243
2017-12-31,1M,Equity Common Stock,GD.N,0.2717082
2017-12-31,1M,Equity Common Stock,GE.N,-0.1461762
2017-12-31,1M,Equity Common Stock,GIS.N,0.0894871
2017-12-31,1M,Equity Common Stock,GPC.N,-0.0304803
2017-12-31,1M,Equity Common Stock,GILD.OQ,-0.0858025
2017-12-31,1M,Equity Common Stock,GT.OQ,0.0822311
2017-12-31,1M,Equity Common Stock,GWW.N,0.0012751
2017-12-31,1M,Equity Common Stock,HAL.N,0.1124399
2017-12-31,1M,Equity Common Stock,HOG.N,-0.0701077
2017-12-31,1M,Equity Common Stock,HRS.N,0.3616768
2017-12-31,1M,Equity Common Stock,HIG.N,0.1997030
2017-12-31,1M,Equity Common Stock,HAS.OQ,0.2586660
2017-12-31,1M,Equity Common Stock,HCP.N,-0.1579716
2017-12-31,1M,Equity Common Stock,WELL.N,-0.0602486
2017-12-31,1M,Equity Common Stock,HP.N,0.0422613
2017-12-31,1M,Equity Common Stock,HSY.N,0.0697622
2017-12-31,1M,Equity Common Stock,HPQ.N,0.0890154
2017-12-31,1M,Equity Common Stock,HFC.N,0.1337232
2017-12-31,1M,Equity Common Stock,HOLX.OQ,0.2503237
2017-12-31,1M,Equity Common Stock,HD.N,0.3849844
2017-12-31,1M,Equity Common Stock,HRL.N,0.1787749
2017-12-31,1M,Equity Common Stock,HST.N,-0.0463693
2017-12-31,1M,Equity Common Stock,HUM.N,0.2204283
2017-12-31,1M,Equity Common Stock,JBHT.OQ,0.1748711
2017-12-31,1M,Equity Common Stock,HBAN.OQ,0.1619143
2017-12-31,1M,Equity Common Stock,BIIB.OQ,0.0482958
2017-12-31,1M,Equity Common Stock,MOS.N,-0.1075382
2017-12-31,1M,Equity Common Stock,IDXX.OQ,0.3181673
2017-12-31,1M,Equity Common Stock,ITW.N,0.3650011
2017-12-31,1M,Equity Common Stock,INCY.OQ,0.1230615
2017-12-31,1M,Equity Common Stock,IR.N,0.1909720
2017-12-31,1M,Equity Common Stock,NKTR.OQ,0.2325424
2017-12-31,1M,Equity Common Stock,INTC.OQ,0.1344159
2017-12-31,1M,Equity Common Stock,IBM.N,-0.0002937
2017-12-31,1M,Equity Common Stock,IFF.N,0.2199327
2017-12-31,1M,Equity Common Stock,IP.N,0.0648592
2017-12-31,1M,Equity Common Stock,IPG.N,0.0166784
2017-12-31,1M,Equity Common Stock,INTU.OQ,0.2850755
2017-12-31,1M,Equity Common Stock,JEC.N,0.1799555
2017-12-31,1M,Equity Common Stock,JNJ.N,0.2483608
2017-12-31,1M,Equity Common Stock,KLAC.OQ,0.1737913
2017-12-31,1M,Equity Common Stock,KSU.N,-0.0202900
2017-12-31,1M,Equity Common Stock,K.N,0.0472031
2017-12-31,1M,Equity Common Stock,KEY.N,0.1730034
2017-12-31,1M,Equity Common Stock,KMB.N,0.0482459
2017-12-31,1M,Equity Common Stock,KIM.N,-0.1120246
2017-12-31,1M,Equity Common Stock,KSS.N,0.0158246
2017-12-31,1M,Equity Common Stock,KR.N,-0.0109186
2017-12-31,1M,Equity Common Stock,LH.N,0.2349831
2017-12-31,1M,Equity Common Stock,LRCX.OQ,0.3373894
2017-12-31,1M,Equity Common Stock,EL.N,0.2858323
2017-12-31,1M,Equity Common Stock,LEG.N,0.0850863
2017-12-31,1M,Equity Common Stock,LEN.N,0.1894902
2017-12-31,1M,Equity Common Stock,JEF.N,0.1016502
2017-12-31,1M,Equity Common Stock,LLY.N,0.1397132
2017-12-31,1M,Equity Common Stock,LB.N,-0.0438513
2017-12-31,1M,Equity Common Stock,LNC.N,0.1293031
2017-12-31,1M,Equity Common Stock,LMT.N,0.3859378
2017-12-31,1M,Equity Common Stock,L.N,0.1633667
2017-12-31,1M,Equity Common Stock,LOW.N,0.1782200
2017-12-31,1M,Equity Common Stock,MTB.N,0.1709680
2017-12-31,1M,Equity Common Stock,MGM.N,0.1979432
2017-12-31,1M,Equity Common Stock,MAC.N,-0.0585834
2017-12-31,1M,Equity Common Stock,MMC.N,0.2495369
2017-12-31,1M,Equity Common Stock,MAR.OQ,0.2685920
2017-12-31,1M,Equity Common Stock,MLM.N,0.2663606
