DATE,HORIZON,ASSET_TYPE,ASSET,EXPECTED_COST
2017-12-31,1M,Equity Common Stock,MCK.N,2.00%
2017-12-31,1M,Equity Common Stock,MDT.N,2.00%
2017-12-31,1M,Equity Common Stock,BK.N,2.00%
2017-12-31,1M,Equity Common Stock,MSFT.OQ,2.00%
2017-12-31,1M,Equity Common Stock,MCHP.OQ,2.00%
2017-12-31,1M,Equity Common Stock,MU.OQ,2.00%
2017-12-31,1M,Equity Common Stock,MAA.N,2.00%
2017-12-31,1M,Equity Common Stock,MMM.N,2.00%
2017-12-31,1M,Equity Common Stock,MHK.N,2.00%
2017-12-31,1M,Equity Common Stock,MS.N,2.00%
2017-12-31,1M,Equity Common Stock,MSI.N,2.00%
2017-12-31,1M,Equity Common Stock,MYL.OQ,2.00%
2017-12-31,1M,Equity Common Stock,NTAP.OQ,2.00%
2017-12-31,1M,Equity Common Stock,NFX.N,2.00%
2017-12-31,1M,Equity Common Stock,NEM.N,2.00%
2017-12-31,1M,Equity Common Stock,NKE.N,2.00%
2017-12-31,1M,Equity Common Stock,NBL.N,2.00%
2017-12-31,1M,Equity Common Stock,JWN.N,2.00%
2017-12-31,1M,Equity Common Stock,NSC.N,2.00%
2017-12-31,1M,Equity Common Stock,ES.N,2.00%
2017-12-31,1M,Equity Common Stock,XEL.OQ,2.00%
2017-12-31,1M,Equity Common Stock,NTRS.OQ,2.00%
2017-12-31,1M,Equity Common Stock,NOC.N,2.00%
2017-12-31,1M,Equity Common Stock,WFC.N,2.00%
2017-12-31,1M,Equity Common Stock,NUE.N,2.00%
2017-12-31,1M,Equity Common Stock,OXY.N,2.00%
2017-12-31,1M,Equity Common Stock,OMC.N,2.00%
2017-12-31,1M,Equity Common Stock,OKE.N,2.00%
2017-12-31,1M,Equity Common Stock,ORCL.N,2.00%
2017-12-31,1M,Equity Common Stock,ORLY.OQ,2.00%
2017-12-31,1M,Equity Common Stock,EXC.N,2.00%
2017-12-31,1M,Equity Common Stock,PCG.N,2.00%
2017-12-31,1M,Equity Common Stock,PNC.N,2.00%
2017-12-31,1M,Equity Common Stock,PPL.N,2.00%
2017-12-31,1M,Equity Common Stock,PPG.N,2.00%
2017-12-31,1M,Equity Common Stock,PCAR.OQ,2.00%
2017-12-31,1M,Equity Common Stock,PH.N,2.00%
2017-12-31,1M,Equity Common Stock,PAYX.OQ,2.00%
2017-12-31,1M,Equity Common Stock,PNR.N,2.00%
2017-12-31,1M,Equity Common Stock,PBCT.OQ,2.00%
2017-12-31,1M,Equity Common Stock,PEP.OQ,2.00%
2017-12-31,1M,Equity Common Stock,PRGO.N,2.00%
2017-12-31,1M,Equity Common Stock,PFE.N,2.00%
2017-12-31,1M,Equity Common Stock,MO.N,2.00%
2017-12-31,1M,Equity Common Stock,COP.N,2.00%
2017-12-31,1M,Equity Common Stock,PVH.N,2.00%
2017-12-31,1M,Equity Common Stock,PNW.N,2.00%
2017-12-31,1M,Equity Common Stock,PXD.N,2.00%
2017-12-31,1M,Equity Common Stock,PX.N,2.00%
2017-12-31,1M,Equity Common Stock,TROW.OQ,2.00%
2017-12-31,1M,Equity Common Stock,PG.N,2.00%
2017-12-31,1M,Equity Common Stock,PGR.N,2.00%
2017-12-31,1M,Equity Common Stock,PEG.N,2.00%
2017-12-31,1M,Equity Common Stock,PSA.N,2.00%
2017-12-31,1M,Equity Common Stock,PHM.N,2.00%
2017-12-31,1M,Equity Common Stock,QCOM.OQ,2.00%
2017-12-31,1M,Equity Common Stock,PWR.N,2.00%
2017-12-31,1M,Equity Common Stock,RJF.N,2.00%
2017-12-31,1M,Equity Common Stock,O.N,2.00%
2017-12-31,1M,Equity Common Stock,REGN.OQ,2.00%
2017-12-31,1M,Equity Common Stock,REG.N,2.00%
2017-12-31,1M,Equity Common Stock,RMD.N,2.00%
2017-12-31,1M,Equity Common Stock,RHI.N,2.00%
2017-12-31,1M,Equity Common Stock,ROK.N,2.00%
2017-12-31,1M,Equity Common Stock,ROL.N,2.00%
2017-12-31,1M,Equity Common Stock,ROP.N,2.00%
2017-12-31,1M,Equity Common Stock,ROST.OQ,2.00%
2017-12-31,1M,Equity Common Stock,T.N,2.00%
2017-12-31,1M,Equity Common Stock,TRV.N,2.00%
2017-12-31,1M,Equity Common Stock,SCG.N,2.00%
2017-12-31,1M,Equity Common Stock,HSIC.OQ,2.00%
2017-12-31,1M,Equity Common Stock,SLB.N,2.00%
2017-12-31,1M,Equity Common Stock,SCHW.N,2.00%
2017-12-31,1M,Equity Common Stock,SEE.N,2.00%
2017-12-31,1M,Equity Common Stock,SRE.N,2.00%
2017-12-31,1M,Equity Common Stock,SHW.N,2.00%
2017-12-31,1M,Equity Common Stock,SIVB.OQ,2.00%
2017-12-31,1M,Equity Common Stock,SPG.N,2.00%
2017-12-31,1M,Equity Common Stock,AOS.N,2.00%
2017-12-31,1M,Equity Common Stock,SNA.N,2.00%
2017-12-31,1M,Equity Common Stock,SO.N,2.00%
2017-12-31,1M,Equity Common Stock,LUV.N,2.00%
2017-12-31,1M,Equity Common Stock,SWK.N,2.00%
2017-12-31,1M,Equity Common Stock,USB.N,2.00%
2017-12-31,1M,Equity Common Stock,SBUX.OQ,2.00%
2017-12-31,1M,Equity Common Stock,STT.N,2.00%
2017-12-31,1M,Equity Common Stock,SYK.N,2.00%
2017-12-31,1M,Equity Common Stock,STI.N,2.00%
2017-12-31,1M,Equity Common Stock,SYMC.OQ,2.00%
2017-12-31,1M,Equity Common Stock,SNPS.OQ,2.00%
2017-12-31,1M,Equity Common Stock,SYY.N,2.00%
2017-12-31,1M,Equity Common Stock,TJX.N,2.00%
2017-12-31,1M,Equity Common Stock,TXN.OQ,2.00%
2017-12-31,1M,Equity Common Stock,TXT.N,2.00%
2017-12-31,1M,Equity Common Stock,TMO.N,2.00%
2017-12-31,1M,Equity Common Stock,TIF.N,2.00%
2017-12-31,1M,Equity Common Stock,TMK.N,2.00%
2017-12-31,1M,Equity Common Stock,DVA.N,2.00%
2017-12-31,1M,Equity Common Stock,TSS.N,2.00%
2017-12-31,1M,Equity Common Stock,TSCO.OQ,2.00%
2017-12-31,1M,Equity Common Stock,C.N,2.00%
2017-12-31,1M,Equity Common Stock,YUM.N,2.00%
2017-12-31,1M,Equity Common Stock,TSN.N,2.00%
2017-12-31,1M,Equity Common Stock,MRO.N,2.00%
2017-12-31,1M,Equity Common Stock,WM.N,2.00%
2017-12-31,1M,Equity Common Stock,UNP.N,2.00%
2017-12-31,1M,Equity Common Stock,UDR.N,2.00%
2017-12-31,1M,Equity Common Stock,UNH.N,2.00%
2017-12-31,1M,Equity Common Stock,UTX.N,2.00%
2017-12-31,1M,Equity Common Stock,UHS.N,2.00%
2017-12-31,1M,Equity Common Stock,VFC.N,2.00%
2017-12-31,1M,Equity Common Stock,VLO.N,2.00%
2017-12-31,1M,Equity Common Stock,VTR.N,2.00%
2017-12-31,1M,Equity Common Stock,FL.N,2.00%
2017-12-31,1M,Equity Common Stock,VRSN.OQ,2.00%
2017-12-31,1M,Equity Common Stock,VRTX.OQ,2.00%
2017-12-31,1M,Equity Common Stock,VNO.N,2.00%
2017-12-31,1M,Equity Common Stock,VMC.N,2.00%
2017-12-31,1M,Equity Common Stock,WMT.N,2.00%
2017-12-31,1M,Equity Common Stock,WBA.OQ,2.00%
2017-12-31,1M,Equity Common Stock,WAT.N,2.00%
2017-12-31,1M,Equity Common Stock,AGN.N,2.00%
2017-12-31,1M,Equity Common Stock,WDC.OQ,2.00%
2017-12-31,1M,Equity Common Stock,EVRG.N,2.00%
2017-12-31,1M,Equity Common Stock,WY.N,2.00%
2017-12-31,1M,Equity Common Stock,WHR.N,2.00%
2017-12-31,1M,Equity Common Stock,WMB.N,2.00%
2017-12-31,1M,Equity Common Stock,WEC.N,2.00%
2017-12-31,1M,Equity Common Stock,XLNX.OQ,2.00%
2017-12-31,1M,Equity Common Stock,XRX.N,2.00%
2017-12-31,1M,Equity Common Stock,ZION.OQ,2.00%
2017-12-31,1M,Equity Common Stock,CB.N,2.00%
2017-12-31,1M,Equity Common Stock,JCI.N,2.00%
2017-12-31,1M,Equity Common Stock,RCL.N,2.00%
2017-12-31,1M,Equity Common Stock,AMT.N,2.00%
2017-12-31,1M,Equity Common Stock,MCO.N,2.00%
2017-12-31,1M,Equity Common Stock,DGX.N,2.00%
2017-12-31,1M,Equity Common Stock,SRCL.OQ,2.00%
2017-12-31,1M,Equity Common Stock,PLD.N,2.00%
2017-12-31,1M,Equity Common Stock,URI.N,2.00%
2017-12-31,1M,Equity Common Stock,CNP.N,2.00%
2017-12-31,1M,Equity Common Stock,NWL.N,2.00%
2017-12-31,1M,Equity Common Stock,VAR.N,2.00%
2017-12-31,1M,Equity Common Stock,BXP.N,2.00%
2017-12-31,1M,Equity Common Stock,ESS.N,2.00%
2017-12-31,1M,Equity Common Stock,ARE.N,2.00%
2017-12-31,1M,Equity Common Stock,CHRW.OQ,2.00%
2017-12-31,1M,Equity Common Stock,DISH.OQ,2.00%
2017-12-31,1M,Equity Common Stock,LLL.N,2.00%
2017-12-31,1M,Equity Common Stock,MTD.N,2.00%
2017-12-31,1M,Equity Common Stock,IRM.N,2.00%
2017-12-31,1M,Equity Common Stock,SLG.N,2.00%
2017-12-31,1M,Equity Common Stock,NI.N,2.00%
2017-12-31,1M,Equity Common Stock,SWKS.OQ,2.00%
2017-12-31,1M,Equity Common Stock,BAC.N,2.00%
2017-12-31,1M,Equity Common Stock,AMZN.OQ,2.00%
2017-12-31,1M,Equity Common Stock,NOV.N,2.00%
2017-12-31,1M,Equity Common Stock,RL.N,2.00%
2017-12-31,1M,Equity Common Stock,LNT.N,2.00%
2017-12-31,1M,Equity Common Stock,CTL.N,2.00%
2017-12-31,1M,Equity Common Stock,CTSH.OQ,2.00%
2017-12-31,1M,Equity Common Stock,CCI.N,2.00%
2017-12-31,1M,Equity Common Stock,EBAY.OQ,2.00%
2017-12-31,1M,Equity Common Stock,GS.N,2.00%
2017-12-31,1M,Equity Common Stock,NVDA.OQ,2.00%
2017-12-31,1M,Equity Common Stock,BKNG.OQ,2.00%
2017-12-31,1M,Equity Common Stock,RSG.N,2.00%
2017-12-31,1M,Equity Common Stock,UNM.N,2.00%
2017-12-31,1M,Equity Common Stock,COST.OQ,2.00%
2017-12-31,1M,Equity Common Stock,DVN.N,2.00%
2017-12-31,1M,Equity Common Stock,PKI.N,2.00%
2017-12-31,1M,Equity Common Stock,TTWO.OQ,2.00%
2017-12-31,1M,Equity Common Stock,AKAM.OQ,2.00%
2017-12-31,1M,Equity Common Stock,UPS.N,2.00%
2017-12-31,1M,Equity Common Stock,JNPR.N,2.00%
2017-12-31,1M,Equity Common Stock,RHT.N,2.00%
2017-12-31,1M,Equity Common Stock,FLIR.OQ,2.00%
2017-12-31,1M,Equity Common Stock,EW.N,2.00%
2017-12-31,1M,Equity Common Stock,A.N,2.00%
2017-12-31,1M,Equity Common Stock,BLK.N,2.00%
2017-12-31,1M,Equity Common Stock,FFIV.OQ,2.00%
2017-12-31,1M,Equity Common Stock,MET.N,2.00%
2017-12-31,1M,Equity Common Stock,PKG.N,2.00%
2017-12-31,1M,Equity Common Stock,SBAC.OQ,2.00%
2017-12-31,1M,Equity Common Stock,F.N,2.00%
2017-12-31,1M,Equity Common Stock,AET.N,2.00%
2017-12-31,1M,Equity Common Stock,FLR.N,2.00%
2017-12-31,1M,Equity Common Stock,GPN.N,2.00%
2017-12-31,1M,Equity Common Stock,TPR.N,2.00%
2017-12-31,1M,Equity Common Stock,RTN.N,2.00%
2017-12-31,1M,Equity Common Stock,ALGN.OQ,2.00%
2017-12-31,1M,Equity Common Stock,ANSS.OQ,2.00%
2017-12-31,1M,Equity Common Stock,KMX.N,2.00%
2017-12-31,1M,Equity Common Stock,ILMN.OQ,2.00%
2017-12-31,1M,Equity Common Stock,ISRG.OQ,2.00%
2017-12-31,1M,Equity Common Stock,FIS.N,2.00%
2017-12-31,1M,Equity Common Stock,COL.N,2.00%
2017-12-31,1M,Equity Common Stock,ZBH.N,2.00%
2017-12-31,1M,Equity Common Stock,ACN.N,2.00%
2017-12-31,1M,Equity Common Stock,ADS.N,2.00%
2017-12-31,1M,Equity Common Stock,ANTM.N,2.00%
2017-12-31,1M,Equity Common Stock,IVZ.N,2.00%
2017-12-31,1M,Equity Common Stock,EQIX.OQ,2.00%
2017-12-31,1M,Equity Common Stock,GRMN.OQ,2.00%
2017-12-31,1M,Equity Common Stock,MNST.OQ,2.00%
2017-12-31,1M,Equity Common Stock,MDLZ.OQ,2.00%
2017-12-31,1M,Equity Common Stock,PFG.OQ,2.00%
2017-12-31,1M,Equity Common Stock,WLTW.OQ,2.00%
2017-12-31,1M,Equity Common Stock,AAP.N,2.00%
2017-12-31,1M,Equity Common Stock,CNC.N,2.00%
2017-12-31,1M,Equity Common Stock,PRU.N,2.00%
2017-12-31,1M,Equity Common Stock,NFLX.OQ,2.00%
2017-12-31,1M,Equity Common Stock,SJM.N,2.00%
2017-12-31,1M,Equity Common Stock,NDAQ.OQ,2.00%
2017-12-31,1M,Equity Common Stock,XEC.N,2.00%
2017-12-31,1M,Equity Common Stock,WYNN.OQ,2.00%
2017-12-31,1M,Equity Common Stock,CMCSA.OQ,2.00%
2017-12-31,1M,Equity Common Stock,CME.OQ,2.00%
2017-12-31,1M,Equity Common Stock,STX.OQ,2.00%
2017-12-31,1M,Equity Common Stock,LKQ.OQ,2.00%
2017-12-31,1M,Equity Common Stock,NRG.N,2.00%
2017-12-31,1M,Equity Common Stock,AIZ.N,2.00%
2017-12-31,1M,Equity Common Stock,CBRE.N,2.00%
2017-12-31,1M,Equity Common Stock,CRM.N,2.00%
2017-12-31,1M,Equity Common Stock,RF.N,2.00%
2017-12-31,1M,Equity Common Stock,WCG.N,2.00%
2017-12-31,1M,Equity Common Stock,EXR.N,2.00%
2017-12-31,1M,Equity Common Stock,GOOGL.OQ,2.00%
2017-12-31,1M,Equity Common Stock,DLR.N,2.00%
2017-12-31,1M,Equity Common Stock,FOXA.OQ,2.00%
2017-12-31,1M,Equity Common Stock,FOX.OQ,2.00%
2017-12-31,1M,Equity Common Stock,EXPE.OQ,2.00%
2017-12-31,1M,Equity Common Stock,CF.N,2.00%
2017-12-31,1M,Equity Common Stock,AMP.N,2.00%
2017-12-31,1M,Equity Common Stock,MA.N,2.00%
2017-12-31,1M,Equity Common Stock,ICE.N,2.00%
2017-12-31,1M,Equity Common Stock,UAA.N,2.00%
2017-12-31,1M,Equity Common Stock,CBS.N,2.00%
2017-12-31,1M,Equity Common Stock,VIAB.OQ,2.00%
2017-12-31,1M,Equity Common Stock,CMG.N,2.00%
2017-12-31,1M,Equity Common Stock,UAL.OQ,2.00%
2017-12-31,1M,Equity Common Stock,TDG.N,2.00%
2017-12-31,1M,Equity Common Stock,IPGP.OQ,2.00%
2017-12-31,1M,Equity Common Stock,HBI.N,2.00%
2017-12-31,1M,Equity Common Stock,WU.N,2.00%
2017-12-31,1M,Equity Common Stock,BR.N,2.00%
2017-12-31,1M,Equity Common Stock,DAL.N,2.00%
2017-12-31,1M,Equity Common Stock,TEL.N,2.00%
2017-12-31,1M,Equity Common Stock,DFS.N,2.00%
2017-12-31,1M,Equity Common Stock,CXO.N,2.00%
2017-12-31,1M,Equity Common Stock,ULTA.OQ,2.00%
2017-12-31,1M,Equity Common Stock,MSCI.N,2.00%
2017-12-31,1M,Equity Common Stock,PM.N,2.00%
2017-12-31,1M,Equity Common Stock,V.N,2.00%
