DATE,HORIZON,ASSET_TYPE,ASSET,EXPECTED_RISK
2017-12-31,1M,Equity Common Stock,EA.OQ,7.49%
2017-12-31,1M,Equity Common Stock,EMR.N,5.44%
2017-12-31,1M,Equity Common Stock,EOG.N,7.85%
2017-12-31,1M,Equity Common Stock,ETR.N,4.99%
2017-12-31,1M,Equity Common Stock,EFX.N,6.49%
2017-12-31,1M,Equity Common Stock,EQT.N,7.93%
2017-12-31,1M,Equity Common Stock,EQR.N,4.65%
2017-12-31,1M,Equity Common Stock,RE.N,3.94%
2017-12-31,1M,Equity Common Stock,EXPD.OQ,4.26%
2017-12-31,1M,Equity Common Stock,ESRX.OQ,6.02%
2017-12-31,1M,Equity Common Stock,XOM.N,4.07%
2017-12-31,1M,Equity Common Stock,FMC.N,8.92%
2017-12-31,1M,Equity Common Stock,NEE.N,4.45%
2017-12-31,1M,Equity Common Stock,FAST.OQ,6.45%
2017-12-31,1M,Equity Common Stock,FDX.N,6.18%
2017-12-31,1M,Equity Common Stock,FRT.N,4.69%
2017-12-31,1M,Equity Common Stock,M.N,10.97%
2017-12-31,1M,Equity Common Stock,FITB.OQ,7.64%
2017-12-31,1M,Equity Common Stock,FISV.OQ,4.07%
2017-12-31,1M,Equity Common Stock,FE.N,5.46%
2017-12-31,1M,Equity Common Stock,FLS.N,7.31%
2017-12-31,1M,Equity Common Stock,BEN.N,6.36%
2017-12-31,1M,Equity Common Stock,FCX.N,23.46%
2017-12-31,1M,Equity Common Stock,AJG.N,4.49%
2017-12-31,1M,Equity Common Stock,GPS.N,12.06%
2017-12-31,1M,Equity Common Stock,IT.N,5.81%
2017-12-31,1M,Equity Common Stock,GD.N,4.34%
2017-12-31,1M,Equity Common Stock,GE.N,5.86%
2017-12-31,1M,Equity Common Stock,GIS.N,4.25%
2017-12-31,1M,Equity Common Stock,GPC.N,5.56%
2017-12-31,1M,Equity Common Stock,GILD.OQ,6.46%
2017-12-31,1M,Equity Common Stock,GT.OQ,8.02%
2017-12-31,1M,Equity Common Stock,GWW.N,6.70%
2017-12-31,1M,Equity Common Stock,HAL.N,8.22%
2017-12-31,1M,Equity Common Stock,HOG.N,6.96%
2017-12-31,1M,Equity Common Stock,HRS.N,5.69%
2017-12-31,1M,Equity Common Stock,HIG.N,4.73%
2017-12-31,1M,Equity Common Stock,HAS.OQ,6.12%
2017-12-31,1M,Equity Common Stock,HCP.N,6.27%
2017-12-31,1M,Equity Common Stock,WELL.N,5.47%
2017-12-31,1M,Equity Common Stock,HP.N,10.97%
2017-12-31,1M,Equity Common Stock,HSY.N,5.60%
2017-12-31,1M,Equity Common Stock,HPQ.N,7.81%
2017-12-31,1M,Equity Common Stock,HFC.N,10.80%
2017-12-31,1M,Equity Common Stock,HOLX.OQ,5.93%
2017-12-31,1M,Equity Common Stock,HD.N,4.55%
2017-12-31,1M,Equity Common Stock,HRL.N,6.28%
2017-12-31,1M,Equity Common Stock,HST.N,6.38%
2017-12-31,1M,Equity Common Stock,HUM.N,8.36%
2017-12-31,1M,Equity Common Stock,JBHT.OQ,5.92%
2017-12-31,1M,Equity Common Stock,HBAN.OQ,7.24%
2017-12-31,1M,Equity Common Stock,BIIB.OQ,8.50%
2017-12-31,1M,Equity Common Stock,MOS.N,10.02%
2017-12-31,1M,Equity Common Stock,IDXX.OQ,7.41%
2017-12-31,1M,Equity Common Stock,ITW.N,4.62%
2017-12-31,1M,Equity Common Stock,INCY.OQ,10.84%
2017-12-31,1M,Equity Common Stock,IR.N,5.84%
2017-12-31,1M,Equity Common Stock,NKTR.OQ,27.42%
2017-12-31,1M,Equity Common Stock,INTC.OQ,6.48%
2017-12-31,1M,Equity Common Stock,IBM.N,5.07%
2017-12-31,1M,Equity Common Stock,IFF.N,5.98%
2017-12-31,1M,Equity Common Stock,IP.N,6.67%
2017-12-31,1M,Equity Common Stock,IPG.N,6.30%
2017-12-31,1M,Equity Common Stock,INTU.OQ,5.88%
2017-12-31,1M,Equity Common Stock,JEC.N,7.52%
2017-12-31,1M,Equity Common Stock,JNJ.N,3.49%
2017-12-31,1M,Equity Common Stock,KLAC.OQ,8.20%
2017-12-31,1M,Equity Common Stock,KSU.N,7.30%
2017-12-31,1M,Equity Common Stock,K.N,3.45%
2017-12-31,1M,Equity Common Stock,KEY.N,7.60%
2017-12-31,1M,Equity Common Stock,KMB.N,4.86%
2017-12-31,1M,Equity Common Stock,KIM.N,6.31%
2017-12-31,1M,Equity Common Stock,KSS.N,10.08%
2017-12-31,1M,Equity Common Stock,KR.N,8.38%
2017-12-31,1M,Equity Common Stock,LH.N,5.20%
2017-12-31,1M,Equity Common Stock,LRCX.OQ,7.91%
2017-12-31,1M,Equity Common Stock,EL.N,5.53%
2017-12-31,1M,Equity Common Stock,LEG.N,5.41%
2017-12-31,1M,Equity Common Stock,LEN.N,6.36%
2017-12-31,1M,Equity Common Stock,JEF.N,6.68%
2017-12-31,1M,Equity Common Stock,LLY.N,4.86%
2017-12-31,1M,Equity Common Stock,LB.N,9.71%
2017-12-31,1M,Equity Common Stock,LNC.N,9.64%
2017-12-31,1M,Equity Common Stock,LMT.N,3.89%
2017-12-31,1M,Equity Common Stock,L.N,3.30%
2017-12-31,1M,Equity Common Stock,LOW.N,5.53%
2017-12-31,1M,Equity Common Stock,MTB.N,6.07%
2017-12-31,1M,Equity Common Stock,MGM.N,7.68%
2017-12-31,1M,Equity Common Stock,MAC.N,6.04%
2017-12-31,1M,Equity Common Stock,MMC.N,4.29%
2017-12-31,1M,Equity Common Stock,MAR.OQ,6.52%
2017-12-31,1M,Equity Common Stock,MLM.N,8.57%
